# Species	Genes	Alg.-Conn.	E_billingiae_protein.faa	E_gerundensis_protein.faa	E_persicina_protein.faa	E_pyrifoliae_protein.faa	E_tasmaniensis_protein.faa
3	3	0.971	WP_013202009.1	WP_067430466.1	WP_062743192.1	*	*
3	3	0.989	WP_041692010.1	WP_067429787.1	WP_062743225.1	*	*
2	2	1	*	WP_067429898.1	WP_222682191.1	*	*
2	2	1	*	WP_067429904.1	WP_062742622.1	*	*
2	2	1	*	WP_067429912.1	WP_062742618.1	*	*
3	3	0.962	WP_013200448.1	WP_067429963.1	WP_062747979.1	*	*
2	2	1	*	WP_067429977.1	WP_222681740.1	*	*
3	3	0.954	WP_013202329.1	WP_067430092.1	WP_062743549.1	*	*
3	3	0.835	WP_041691992.1	WP_067430185.1	WP_062743514.1	*	*
2	2	1	*	WP_067430232.1	WP_187510397.1	*	*
3	3	0.928	WP_013201952.1	WP_067430359.1	WP_244634628.1	*	*
3	3	0.989	WP_013201976.1	WP_067430402.1	WP_118664204.1	*	*
3	3	0.966	WP_225309856.1	WP_067430405.1	WP_062743410.1	*	*
3	3	0.981	WP_013201978.1	WP_067430408.1	WP_118664203.1	*	*
3	3	0.968	WP_013202008.1	WP_067430463.1	WP_062743191.1	*	*
3	3	0.94	WP_013202356.1	WP_067433613.1	WP_062748754.1	*	*
3	3	0.995	WP_013202011.1	WP_067430469.1	WP_062743194.1	*	*
3	3	0.959	WP_013202015.1	WP_067430480.1	WP_062743197.1	*	*
3	3	0.806	WP_013203799.1	WP_067430662.1	WP_240043817.1	*	*
3	3	0.396	WP_013203800.1	WP_067430665.1	WP_062745966.1	*	*
3	3	0.959	WP_013202058.1	WP_067430730.1	WP_191928091.1	*	*
3	3	0.969	WP_049789650.1	WP_067430737.1	WP_222939968.1	*	*
3	3	0.983	WP_041692291.1	WP_067430775.1	WP_222681477.1	*	*
3	3	0.995	WP_013202370.1	WP_067430948.1	WP_062743163.1	*	*
3	3	0.884	WP_041692018.1	WP_067431009.1	WP_062743142.1	*	*
3	3	0.998	WP_013202426.1	WP_067431089.1	WP_062743112.1	*	*
3	3	0.972	WP_013202476.1	WP_067431219.1	WP_062746200.1	*	*
3	3	0.99	WP_013202477.1	WP_067431222.1	WP_062746202.1	*	*
3	3	0.985	WP_013202478.1	WP_067431225.1	WP_062746204.1	*	*
3	3	0.909	WP_013202479.1	WP_067431228.1	WP_062746410.1	*	*
3	3	0.955	WP_013200681.1	WP_067436753.1	WP_187510283.1	*	*
3	3	0.967	WP_013203136.1	WP_067436294.1	WP_062742995.1	*	*
3	3	0.958	WP_013203138.1	WP_067436300.1	WP_118663686.1	*	*
2	2	1	*	WP_067436340.1	WP_062748767.1	*	*
2	2	1	*	WP_067436345.1	WP_245006748.1	*	*
3	3	0.593	WP_013202753.1	WP_067436356.1	WP_245006689.1	*	*
2	2	1	*	WP_067436369.1	WP_118663854.1	*	*
2	2	1	*	WP_067436452.1	WP_222682218.1	*	*
3	3	0.916	WP_013200953.1	WP_067436483.1	WP_222681443.1	*	*
3	3	0.917	WP_013200951.1	WP_067436489.1	WP_062743252.1	*	*
2	2	1	*	WP_067436621.1	WP_062748687.1	*	*
2	2	1	*	WP_067436665.1	WP_240043894.1	*	*
3	3	0.945	WP_013202179.1	WP_067436706.1	WP_062742769.1	*	*
3	3	0.896	WP_013202180.1	WP_067436709.1	WP_062742768.1	*	*
3	3	0.934	WP_013202182.1	WP_067436713.1	WP_062742766.1	*	*
3	3	0.94	WP_013202183.1	WP_067436716.1	WP_062742765.1	*	*
3	3	0.97	WP_013202720.1	WP_067436088.1	WP_062742647.1	*	*
3	3	0.832	WP_013201586.1	WP_067436801.1	WP_062743809.1	*	*
3	3	0.713	WP_013202748.1	WP_067436885.1	WP_222682117.1	*	*
2	2	1	*	WP_067436903.1	WP_191928136.1	*	*
3	3	0.965	WP_013203517.1	WP_067436918.1	WP_062744181.1	*	*
2	2	1	*	WP_067436984.1	WP_240043746.1	*	*
3	3	0.359	WP_013201384.1	WP_067437001.1	WP_062743238.1	*	*
3	3	0.943	WP_013202220.1	WP_067437027.1	WP_118664120.1	*	*
3	3	0.879	WP_013201200.1	WP_069729380.1	WP_222681539.1	*	*
3	3	0.927	WP_071822098.1	WP_071852482.1	WP_062747067.1	*	*
3	3	0.955	WP_013201973.1	WP_071852502.1	WP_062743413.1	*	*
3	3	0.898	WP_071822134.1	WP_071852541.1	WP_072277426.1	*	*
3	3	0.974	WP_049789663.1	WP_082691663.1	WP_084344125.1	*	*
3	3	0.892	WP_013201462.1	WP_157883851.1	WP_062746625.1	*	*
3	3	0.152	WP_013200720.1	WP_162265769.1	WP_062742623.1	*	*
3	3	0.808	WP_013204398.1	WP_067434714.1	WP_062743950.1	*	*
3	3	0.965	WP_013202778.1	WP_067433619.1	WP_062748749.1	*	*
3	3	0.927	WP_013202581.1	WP_067433626.1	WP_062743006.1	*	*
2	2	1	*	WP_067433753.1	WP_222681458.1	*	*
2	2	1	*	WP_067433818.1	WP_062745544.1	*	*
3	3	0.927	WP_013200637.1	WP_067434069.1	WP_137269099.1	*	*
3	3	0.937	WP_013202079.1	WP_067434096.1	WP_222682382.1	*	*
3	3	0.909	WP_013204372.1	WP_067434122.1	WP_062743994.1	*	*
2	2	1	*	WP_067434124.1	WP_062743992.1	*	*
3	3	0.9	WP_013200388.1	WP_067434186.1	WP_062748111.1	*	*
3	3	0.942	WP_013202161.1	WP_067434310.1	WP_222681451.1	*	*
3	3	0.937	WP_013202163.1	WP_067434323.1	WP_222681452.1	*	*
3	3	0.984	WP_013200256.1	WP_067434580.1	WP_222681789.1	*	*
3	3	0.951	WP_013204388.1	WP_067434683.1	WP_062743941.1	*	*
3	3	0.902	WP_013204396.1	WP_067434708.1	WP_062743948.1	*	*
2	2	1	*	WP_067429783.1	WP_062745212.1	*	*
3	3	0.937	WP_013202614.1	WP_067434876.1	WP_118665197.1	*	*
3	3	0.968	WP_013204545.1	WP_067434885.1	WP_062744064.1	*	*
3	3	0.947	WP_013204573.1	WP_067434941.1	WP_062744087.1	*	*
3	3	0.974	WP_013204574.1	WP_067434947.1	WP_222681817.1	*	*
2	2	1	*	WP_067435269.1	WP_062742620.1	*	*
3	3	0.928	WP_013202055.1	WP_067435326.1	WP_118664091.1	*	*
3	3	0.97	WP_013202972.1	WP_067435433.1	WP_137269468.1	*	*
3	3	0.896	WP_013203078.1	WP_067435446.1	WP_222682088.1	*	*
2	2	1	*	WP_067435700.1	WP_240043779.1	*	*
3	3	0.962	WP_013204007.1	WP_067435903.1	WP_062744445.1	*	*
3	3	0.897	WP_013204433.1	WP_067436037.1	WP_137268493.1	*	*
2	2	1	*	WP_067436064.1	WP_191928230.1	*	*
3	3	0.898	WP_231853660.1	WP_067436067.1	WP_118664165.1	*	*
3	3	0.743	WP_013202596.1	WP_067436070.1	WP_062743323.1	*	*
2	2	1	*	*	WP_118664161.1	*	WP_042958905.1
2	2	1	*	*	WP_118664883.1	*	WP_012442749.1
3	3	0.983	WP_013200398.1	*	WP_062748088.1	*	WP_012442769.1
3	3	0.96	WP_013200397.1	*	WP_118664913.1	*	WP_012442770.1
3	3	0.981	WP_013204281.1	*	WP_062748222.1	*	WP_012442969.1
3	3	0.937	WP_013204324.1	*	WP_062743909.1	*	WP_012443020.1
3	3	0.874	WP_013204325.1	*	WP_072277422.1	*	WP_012443021.1
2	2	1	*	*	WP_118665240.1	*	WP_012443039.1
3	3	0.856	WP_013202281.1	*	WP_222681849.1	*	WP_012443043.1
2	2	1	*	*	WP_084344169.1	*	WP_012443045.1
3	3	0.244	WP_013202301.1	*	WP_062743378.1	*	WP_012443049.1
2	2	1	*	*	WP_222681843.1	*	WP_012443053.1
2	2	1	*	*	WP_240343620.1	*	WP_042958548.1
3	3	0.552	WP_041692225.1	*	WP_222682243.1	*	WP_042958622.1
3	3	0.919	WP_013203249.1	*	WP_062743051.1	*	WP_042958749.1
2	2	1	*	*	WP_084344209.1	*	WP_042958822.1
2	2	1	*	*	WP_222681759.1	*	WP_012442748.1
3	3	0.972	WP_013201247.1	*	WP_137268665.1	*	WP_042959037.1
2	2	1	*	*	WP_222681807.1	*	WP_042959048.1
2	2	1	*	*	WP_222681952.1	*	WP_042959173.1
2	2	1	*	*	WP_137268500.1	*	WP_042959324.1
2	2	1	*	*	WP_062748856.1	*	WP_049778736.1
2	2	1	*	*	WP_062744540.1	*	WP_049778773.1
2	2	1	*	*	WP_062744344.1	*	WP_071819183.1
3	3	0.727	WP_049789611.1	*	WP_062742894.1	*	WP_157861788.1
2	2	1	*	*	WP_118665579.1	*	WP_157861853.1
3	3	0.923	WP_013201948.1	*	WP_118664211.1	*	WP_231853274.1
2	2	1	*	*	WP_137268681.1	*	WP_231853282.1
2	2	1	WP_013199810.1	*	*	*	WP_012439763.1
2	2	1	WP_041691807.1	*	*	*	WP_012439780.1
2	2	1	WP_013203764.1	*	*	*	WP_012440231.1
3	3	0.975	WP_013201597.1	*	WP_062743798.1	*	WP_012441797.1
3	3	0.327	WP_013203729.1	*	WP_062743582.1	*	WP_012441098.1
3	3	0.943	WP_041692123.1	*	WP_245006732.1	*	WP_012441113.1
3	3	0.683	WP_157868057.1	*	WP_062743076.1	*	WP_012441135.1
2	2	1	*	*	WP_118663856.1	*	WP_012441138.1
2	2	1	*	*	WP_222681664.1	*	WP_012441365.1
3	3	0.39	WP_013202244.1	*	WP_222681715.1	*	WP_012441406.1
2	2	1	*	*	WP_222681460.1	*	WP_012441465.1
2	2	1	*	*	WP_062743313.1	*	WP_012441475.1
2	2	1	*	*	WP_245006719.1	*	WP_012441491.1
3	3	0.94	WP_013201947.1	*	WP_062743455.1	*	WP_012441528.1
2	2	1	*	*	WP_162900972.1	*	WP_012441532.1
2	2	1	*	*	WP_118664213.1	*	WP_012441533.1
3	3	0.918	WP_013201879.1	*	WP_062743523.1	*	WP_012441591.1
2	2	1	*	*	WP_137268499.1	*	WP_012441659.1
2	2	1	WP_013203756.1	*	*	*	WP_012440233.1
3	3	0.941	WP_013201583.1	*	WP_062743812.1	*	WP_012441803.1
2	2	1	*	*	WP_062746960.1	*	WP_012442119.1
2	2	1	*	*	WP_222681808.1	*	WP_012442122.1
2	2	1	*	*	WP_062746952.1	*	WP_012442123.1
2	2	1	*	*	WP_118665104.1	*	WP_012442125.1
2	2	1	*	*	WP_118665102.1	*	WP_012442126.1
3	3	0.751	WP_013200536.1	*	WP_118664570.1	*	WP_012442301.1
3	3	0.932	WP_013203484.1	*	WP_222681993.1	*	WP_012442358.1
3	3	0.934	WP_013203608.1	*	WP_187509550.1	*	WP_012442474.1
3	3	0.778	WP_013201171.1	*	WP_062748724.1	*	WP_012442538.1
3	3	0.551	WP_041692464.1	*	WP_222681571.1	*	WP_012442561.1
3	3	0.233	WP_041691799.1	*	WP_062746018.1	*	WP_012442730.1
2	2	1	*	*	WP_137269541.1	*	WP_012442734.1
2	2	1	*	*	WP_062746008.1	*	WP_012442736.1
3	3	0.986	WP_081461052.1	WP_067427724.1	WP_118665835.1	*	*
2	2	1	WP_041692070.1	*	*	*	WP_042958767.1
2	2	1	WP_041692335.1	*	*	*	WP_042958855.1
2	2	1	WP_013200023.1	*	*	*	WP_049778727.1
2	2	1	WP_013199821.1	*	*	*	WP_049778728.1
2	2	1	WP_013200025.1	*	*	*	WP_157861764.1
2	2	1	WP_041691805.1	*	*	*	WP_157861765.1
3	3	0.919	WP_013200174.1	WP_067426813.1	WP_137269649.1	*	*
3	3	0.959	WP_013200176.1	WP_067426822.1	WP_222681797.1	*	*
3	3	0.722	WP_231853723.1	WP_067426854.1	WP_222681863.1	*	*
3	3	0.915	WP_013203795.1	WP_067426896.1	WP_240043843.1	*	*
3	3	0.771	WP_013204318.1	WP_067426944.1	WP_245006682.1	*	*
3	3	0.973	WP_013204280.1	WP_067427048.1	WP_062748224.1	*	*
3	3	0.97	WP_013204227.1	WP_067427174.1	WP_062747673.1	*	*
2	2	1	*	WP_067427545.1	WP_062742748.1	*	*
2	2	1	WP_041691795.1	*	*	*	WP_042958493.1
3	3	0.933	WP_013202665.1	WP_067428251.1	WP_062743685.1	*	*
3	3	0.622	WP_013200979.1	WP_067428278.1	WP_062747867.1	*	*
3	3	0.852	WP_013201217.1	WP_067428596.1	WP_062746022.1	*	*
3	3	0.984	WP_013201380.1	WP_067428919.1	WP_062746490.1	*	*
3	3	0.799	WP_105759691.1	WP_067429090.1	WP_191927188.1	*	*
3	3	0.985	WP_013201488.1	WP_067429102.1	WP_062746674.1	*	*
2	2	1	*	WP_067429414.1	WP_222682344.1	*	*
3	3	0.41	WP_013201615.1	WP_067429453.1	WP_062745192.1	*	*
3	3	0.316	WP_013201620.1	WP_067429465.1	WP_137268676.1	*	*
3	3	0.506	WP_013201626.1	WP_067429479.1	WP_187510016.1	*	*
2	2	1	*	WP_067429544.1	WP_062743760.1	*	*
3	3	0.905	WP_013204369.1	WP_067429654.1	WP_062743720.1	*	*
3	3	0.75	WP_013201697.1	WP_067429677.1	WP_240043768.1	*	*
3	3	0.963	WP_013201708.1	WP_067429716.1	WP_137268845.1	*	*
2	2	1	WP_013200009.1	*	*	*	WP_012443471.1
2	2	1	WP_013203755.1	*	*	*	WP_012440234.1
2	2	1	WP_013201107.1	*	*	*	WP_012440307.1
2	2	1	WP_013201109.1	*	*	*	WP_012440310.1
2	2	1	WP_013201140.1	*	*	*	WP_012440341.1
2	2	1	WP_013202135.1	*	*	*	WP_012440585.1
2	2	1	WP_013200596.1	*	*	*	WP_012441292.1
2	2	1	WP_013204505.1	*	*	*	WP_012441364.1
2	2	1	WP_013201231.1	*	*	*	WP_012442101.1
2	2	1	WP_013202572.1	*	*	*	WP_012442113.1
2	2	1	WP_013200426.1	*	*	*	WP_012442269.1
2	2	1	WP_013204343.1	*	*	*	WP_012442910.1
2	2	1	WP_013201162.1	*	*	*	WP_012442976.1
2	2	1	WP_013204509.1	*	*	*	WP_012443083.1
2	2	1	WP_013200008.1	*	*	*	WP_012443470.1
3	3	0.952	WP_013203114.1	*	WP_062742967.1	*	WP_012440928.1
2	2	1	WP_013200010.1	*	*	*	WP_012443472.1
2	2	1	WP_013200011.1	*	*	*	WP_012443473.1
2	2	1	WP_013200012.1	*	*	*	WP_012443474.1
2	2	1	WP_013200016.1	*	*	*	WP_012443475.1
2	2	1	WP_041691804.1	*	*	*	WP_012443476.1
2	2	1	WP_013200020.1	*	*	*	WP_012443478.1
2	2	1	WP_013200026.1	*	*	*	WP_012443482.1
2	2	1	WP_013200028.1	*	*	*	WP_012443483.1
2	2	1	WP_013200031.1	*	*	*	WP_012443484.1
2	2	1	WP_013200036.1	*	*	*	WP_012443488.1
2	2	1	WP_041691832.1	*	*	*	WP_012443490.1
2	2	1	WP_013203215.1	*	*	*	WP_012443506.1
2	2	1	WP_013200024.1	*	*	*	WP_042958429.1
2	2	1	WP_013200037.1	*	*	*	WP_042958435.1
5	5	0.823	WP_013202064.1	WP_067430705.1	WP_062743217.1	WP_014538912.1	WP_042958891.1
5	5	0.963	WP_041692029.1	WP_209501910.1	WP_062746355.1	WP_014538845.1	WP_042958831.1
5	5	0.915	WP_041692028.1	WP_209502222.1	WP_062746350.1	WP_012667843.1	WP_042958833.1
5	5	0.844	WP_013202541.1	WP_067431482.1	WP_118664005.1	WP_012667863.1	WP_042958835.1
5	5	0.947	WP_013202540.1	WP_067431479.1	WP_222682220.1	WP_012667864.1	WP_042958836.1
5	5	0.809	WP_013202532.1	WP_225701597.1	WP_062746299.1	WP_014538851.1	WP_042958841.1
5	5	0.956	WP_013202522.1	WP_209502226.1	WP_222682223.1	WP_012667880.1	WP_042958844.1
5	5	0.407	WP_013202496.1	WP_067436513.1	WP_062746228.1	WP_012667900.1	WP_042958848.1
5	5	0.901	WP_041692022.1	WP_187486105.1	WP_062746406.1	WP_012667922.1	WP_042958850.1
5	5	0.95	WP_013202455.1	WP_187486052.1	WP_048915888.1	WP_012667928.1	WP_042958853.1
5	5	0.936	WP_013202439.1	WP_067431125.1	WP_062746136.1	WP_012667941.1	WP_042958860.1
5	5	0.923	WP_013202380.1	WP_067430978.1	WP_062743155.1	WP_014538877.1	WP_042958872.1
5	5	0.923	WP_013202375.1	WP_225701638.1	WP_062743160.1	WP_012667997.1	WP_042958874.1
5	5	0.769	WP_013202300.1	WP_067430834.1	WP_062743434.1	WP_012668035.1	WP_042958879.1
5	5	0.867	WP_013202021.1	WP_173645364.1	WP_174522406.1	WP_012668090.1	WP_042958882.1
5	5	0.892	WP_013202036.1	WP_187485995.1	WP_222681476.1	WP_014538909.1	WP_042958886.1
5	5	0.865	WP_013202696.1	WP_225701566.1	WP_062742564.1	WP_012667804.1	WP_042958820.1
5	5	0.804	WP_013202069.1	WP_067430701.1	WP_062743218.1	WP_012668110.1	WP_042958894.1
3	3	0.86	*	WP_187488566.1	WP_222681512.1	*	WP_042958902.1
5	5	0.88	WP_231853658.1	WP_225701697.1	WP_137269368.1	WP_012668145.1	WP_042958906.1
5	5	0.958	WP_013202292.1	WP_225701701.1	WP_062743199.1	WP_012668146.1	WP_042958909.1
5	5	0.888	WP_013201996.1	WP_225701705.1	WP_062743391.1	WP_012668156.1	WP_042958913.1
5	5	0.911	WP_013201950.1	WP_067430353.1	WP_062743452.1	WP_014538955.1	WP_042958916.1
5	5	0.918	WP_041692287.1	WP_162265765.1	WP_062743453.1	WP_041473999.1	WP_042958917.1
5	5	0.945	WP_013201940.1	WP_225701718.1	WP_062743463.1	WP_012668196.1	WP_042958921.1
5	5	0.92	WP_041691994.1	WP_067430296.1	WP_062743476.1	WP_014538970.1	WP_042958924.1
5	5	0.931	WP_041691971.1	WP_067435964.1	WP_062743598.1	WP_012668313.1	WP_042958950.1
5	5	0.903	WP_013201740.1	WP_067429833.1	WP_049851133.1	WP_012668318.1	WP_042958952.1
5	5	0.904	WP_081461030.1	WP_082691650.1	WP_084344162.1	WP_012668319.1	WP_042958955.1
5	5	0.865	WP_013201717.1	WP_225700761.1	WP_062743667.1	WP_012668382.1	WP_042958962.1
5	5	0.965	WP_013201710.1	WP_067429722.1	WP_062743674.1	WP_012668389.1	WP_042958965.1
5	5	0.939	WP_013201219.1	WP_187486293.1	WP_062743689.1	WP_012668401.1	WP_042958971.1
5	5	0.947	WP_013203288.1	WP_225701442.1	WP_062744907.1	WP_014538712.1	WP_042958739.1
5	5	0.969	WP_041691901.1	WP_225701003.1	WP_118664650.1	WP_014538595.1	WP_042958661.1
5	5	0.965	WP_013200757.1	WP_187485863.1	WP_118664632.1	WP_012667099.1	WP_042958666.1
3	3	0.938	*	WP_187485308.1	*	WP_041473952.1	WP_042958674.1
5	5	0.895	WP_041692215.1	WP_225700980.1	WP_222681678.1	WP_014538628.1	WP_042958688.1
5	5	0.934	WP_013200827.1	WP_225700979.1	WP_222681677.1	WP_012667203.1	WP_042958691.1
5	5	0.954	WP_013203473.1	WP_067433101.1	WP_118663386.1	WP_012667254.1	WP_042958698.1
5	5	0.895	WP_041692387.1	WP_067432984.1	WP_062744586.1	WP_014538659.1	WP_042958711.1
5	5	0.947	WP_231853721.1	WP_067435484.1	WP_118665652.1	WP_012667364.1	WP_042958714.1
5	5	0.943	WP_013203401.1	WP_067432890.1	WP_222682018.1	WP_014538667.1	WP_042958721.1
5	5	0.904	WP_013203369.1	WP_067432809.1	WP_062744755.1	WP_012667432.1	WP_042958728.1
5	5	0.934	WP_013203355.1	WP_067432794.1	WP_062744778.1	WP_012667439.1	WP_042958730.1
5	5	0.931	WP_013203353.1	WP_067432789.1	WP_062744783.1	WP_012667441.1	WP_042958732.1
5	5	0.958	WP_013203339.1	WP_225701438.1	WP_062744946.1	WP_012667467.1	WP_042958734.1
5	5	0.925	WP_013203333.1	WP_067432756.1	WP_222682038.1	WP_012667468.1	WP_042958735.1
5	5	0.858	WP_013203318.1	WP_067432738.1	WP_240343564.1	WP_012667474.1	WP_042958737.1
5	5	0.959	WP_013202676.1	WP_067431700.1	WP_062743695.1	WP_012668406.1	WP_042958974.1
5	5	0.837	WP_013203287.1	WP_225701443.1	WP_062744910.1	WP_012667486.1	WP_042958742.1
5	5	0.937	WP_013203150.1	WP_225701468.1	WP_062743019.1	WP_014538729.1	WP_042958755.1
5	5	0.851	WP_013203133.1	WP_225701473.1	WP_062743106.1	WP_014538731.1	WP_042958757.1
5	5	0.933	WP_173363015.1	WP_071852518.1	WP_222682086.1	WP_104945094.1	WP_042958760.1
5	5	0.94	WP_013203053.1	WP_209502202.1	WP_118663705.1	WP_014538751.1	WP_042958771.1
4	4	0.743	WP_041692457.1	WP_225701240.1	WP_118665910.1	*	WP_042958776.1
3	3	0.653	WP_013203509.1	WP_225701820.1	*	*	WP_042958777.1
5	5	0.832	WP_013203014.1	WP_067432256.1	WP_062742886.1	WP_012667665.1	WP_042958785.1
5	5	0.97	WP_013202989.1	WP_067432195.1	WP_118663727.1	WP_012667683.1	WP_042958787.1
5	5	0.88	WP_013202967.1	WP_067432121.1	WP_118663742.1	WP_012667700.1	WP_042958791.1
5	5	0.936	WP_041692061.1	WP_067432014.1	WP_062742800.1	WP_014538796.1	WP_042958794.1
5	5	0.9	WP_013203768.1	WP_187486868.1	WP_062742780.1	WP_012667750.1	WP_042958800.1
4	4	0.947	WP_041692054.1	WP_067431873.1	WP_062742693.1	*	WP_042958804.1
5	5	0.905	WP_013202741.1	WP_067435422.1	WP_118663848.1	WP_012667784.1	WP_042958807.1
5	5	0.924	WP_013204217.1	WP_067427205.1	WP_062747653.1	WP_014539718.1	WP_042959193.1
5	5	0.808	WP_013200541.1	WP_157883927.1	WP_222681722.1	WP_014538530.1	WP_042959143.1
5	5	0.863	WP_041691879.1	WP_067433857.1	WP_062745572.1	WP_014538526.1	WP_042959146.1
5	5	0.933	WP_013200504.1	WP_067433943.1	WP_062745641.1	WP_014538518.1	WP_042959152.1
5	5	0.975	WP_013200496.1	WP_225701319.1	WP_222681729.1	WP_104945146.1	WP_042959153.1
5	5	0.679	WP_013200493.1	WP_067433988.1	WP_062745790.1	WP_226060698.1	WP_042959157.1
5	5	0.851	WP_041691865.1	WP_067434192.1	WP_062748114.1	WP_014542534.1	WP_042959177.1
4	4	0.958	WP_013200356.1	WP_067434223.1	WP_062748317.1	*	WP_042959181.1
5	5	0.908	WP_013200352.1	WP_067434234.1	WP_062748325.1	WP_015899080.1	WP_042959182.1
5	5	0.873	WP_013200349.1	WP_067434245.1	WP_062748331.1	WP_014539611.1	WP_042959183.1
5	5	0.911	WP_041692140.1	WP_225701776.1	WP_118665381.1	WP_014539633.1	WP_042959184.1
5	5	0.933	WP_013204106.1	WP_209500754.1	WP_062749309.1	WP_015899090.1	WP_042959185.1
5	5	0.917	WP_041692141.1	WP_067427390.1	WP_062749311.1	WP_014539635.1	WP_042959186.1
5	5	0.95	WP_013204145.1	WP_067427326.1	WP_062747541.1	WP_015899097.1	WP_042959188.1
5	5	0.967	WP_013204151.1	WP_067427315.1	WP_062747553.1	WP_014539664.1	WP_042959189.1
5	5	0.82	WP_071822130.1	WP_071852470.1	WP_222681885.1	WP_014539693.1	WP_042959190.1
5	5	0.757	WP_013203786.1	WP_225701143.1	WP_222681709.1	WP_014538537.1	WP_042959140.1
5	5	0.891	WP_041692446.1	WP_225701121.1	WP_062747654.1	WP_014539719.1	WP_042959194.1
4	4	0.324	*	WP_067436248.1	WP_062749038.1	WP_014539743.1	WP_042959197.1
5	5	0.957	WP_013204243.1	WP_067427120.1	WP_062747708.1	WP_014539750.1	WP_042959199.1
5	5	0.961	WP_013204252.1	WP_067427099.1	WP_062747729.1	WP_014539758.1	WP_042959200.1
4	4	0.908	WP_013204257.1	WP_067435054.1	WP_062748268.1	*	WP_042959201.1
5	5	0.958	WP_013204308.1	WP_225701150.1	WP_062748199.1	WP_015899146.1	WP_042959203.1
5	5	0.943	WP_041692152.1	WP_067426891.1	WP_062744129.1	WP_014542734.1	WP_042959209.1
5	5	0.89	WP_041692458.1	WP_067434721.1	WP_062743952.1	WP_041474072.1	WP_042959213.1
5	5	0.868	WP_013204402.1	WP_225701235.1	WP_222681838.1	WP_014539881.1	WP_042959214.1
5	5	0.823	WP_041692167.1	WP_067435593.1	WP_062744136.1	WP_014539924.1	WP_042959217.1
5	5	0.882	WP_041692467.1	WP_225701214.1	WP_222681820.1	WP_104944972.1	WP_042959219.1
5	5	0.771	WP_013204571.1	WP_067434935.1	WP_137268975.1	WP_015899205.1	WP_042959221.1
5	5	0.813	WP_041691836.1	WP_225701198.1	WP_062747040.1	WP_014538414.1	WP_042959226.1
5	5	0.913	WP_157867999.1	WP_209502312.1	WP_062747030.1	WP_012666484.1	WP_042959227.1
5	5	0.922	WP_041691924.1	WP_225700936.1	WP_062747774.1	WP_014539290.1	WP_042959064.1
5	5	0.901	WP_013201683.1	WP_209500059.1	WP_062743726.1	WP_014539065.1	WP_042958980.1
5	5	0.827	WP_013201563.1	WP_225700807.1	WP_137268898.1	WP_012668522.1	WP_042958993.1
5	5	0.963	WP_041691956.1	WP_067429247.1	WP_062743860.1	WP_041474011.1	WP_042958995.1
4	4	0.958	WP_013201521.1	WP_209500181.1	WP_062743877.1	*	WP_042959001.1
4	4	0.914	WP_013201520.1	WP_187486387.1	WP_062743878.1	*	WP_042959002.1
5	5	0.96	WP_013201513.1	WP_067429177.1	WP_062743884.1	WP_014539135.1	WP_042959004.1
5	5	0.902	WP_013201399.1	WP_067428960.1	WP_062746539.1	WP_012668654.1	WP_042959012.1
5	5	0.96	WP_157868052.1	WP_187486125.1	WP_062746735.1	WP_041474125.1	WP_042959015.1
5	5	0.919	WP_013201301.1	WP_067428700.1	WP_062748417.1	WP_004156654.1	WP_042959021.1
5	5	0.949	WP_013201289.1	WP_225700891.1	WP_062745360.1	WP_041474019.1	WP_042959025.1
5	5	0.947	WP_013201288.1	WP_067428677.1	WP_062745358.1	WP_041474020.1	WP_042959027.1
5	5	0.806	WP_041691944.1	WP_067428651.1	WP_062745336.1	WP_012668757.1	WP_042959029.1
5	5	0.901	WP_013201257.1	WP_067428603.1	WP_062745286.1	WP_012668778.1	WP_042959034.1
5	5	0.811	WP_041691926.1	WP_209500408.1	WP_222681653.1	WP_014539275.1	WP_042959060.1
5	5	0.898	WP_013201043.1	WP_225700934.1	WP_222681654.1	WP_014539277.1	WP_042959061.1
5	5	0.95	WP_041691898.1	WP_067427877.1	WP_062747449.1	WP_014538588.1	WP_042958658.1
5	5	0.962	WP_013201002.1	WP_067428321.1	WP_118664549.1	WP_012668916.1	WP_042959071.1
5	5	0.749	WP_013200958.1	WP_067432629.1	WP_062747898.1	WP_012668953.1	WP_042959074.1
4	4	0.956	WP_013200884.1	WP_067428170.1	WP_062749248.1	*	WP_042959085.1
5	5	0.945	WP_013200880.1	WP_067428159.1	WP_222681671.1	WP_041474034.1	WP_042959087.1
5	5	0.964	WP_041692101.1	WP_067433126.1	WP_222681994.1	WP_014539349.1	WP_042959090.1
5	5	0.961	WP_041692103.1	WP_067433135.1	WP_062744161.1	WP_012669026.1	WP_042959093.1
5	5	0.965	WP_041692104.1	WP_225701404.1	WP_062744164.1	WP_012669029.1	WP_042959096.1
5	5	0.892	WP_013203593.1	WP_225701388.1	WP_187509516.1	WP_012669103.1	WP_042959111.1
5	5	0.953	WP_041692111.1	WP_067433361.1	WP_118663287.1	WP_041474038.1	WP_042959113.1
5	5	0.874	WP_013203629.1	WP_187486894.1	WP_118663271.1	WP_012669161.1	WP_042959114.1
5	5	0.945	WP_013203655.1	WP_067433438.1	WP_118663255.1	WP_014539418.1	WP_042959118.1
5	5	0.922	WP_013203685.1	WP_173645378.1	WP_174522416.1	WP_014539434.1	WP_042959120.1
5	5	0.954	WP_013203689.1	WP_187486874.1	WP_062744325.1	WP_012669228.1	WP_042959122.1
